Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling,GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,player,overall,potential,value_eur,age,total_stats,best_position,nationality,position_group,ability_tier,cell
E. Camavinga,Eduardo Camavinga,79,89,38000000,"CM,CDM",CDM,France,https://cdn.sofifa.net/players/248/243/23_60.png,19,182,68,2125,455,Real Madrid CF,78000,85500000,SUB,2027,12,2021,-,Left,3,4,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High,76,66,78,81,76,78,70,62,64,84,59,80,72,59,81,83,75,76,81,79,78,73,70,81,78,69,78,77,73,77,62,82,75,80,79,12,6,8,12,12,76,76,76,76,76,76,81,80,82,80,81,83,81,81,80,81,21,E. Camavinga,79,89,38000000,19,2125,CDM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
Zubimendi,Martín Zubimendi Ibáñez,79,86,35000000,"CM,CDM",CM,Spain,https://cdn.sofifa.net/players/248/148/23_60.png,23,181,74,1994,420,Real Sociedad,32000,80500000,CM,2025,3,2018,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,59,64,74,74,79,70,65,67,65,82,42,69,62,47,77,79,65,54,71,84,73,58,78,79,66,69,66,83,79,78,45,82,78,83,78,7,6,12,14,13,72,72,73,73,73,72,77,75,81,75,78,81,78,78,78,78,20,Zubimendi,79,86,35000000,23,1994,CM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
M. Caqueret,Maxence Caqueret,79,85,26000000,"CDM,CM",CM,France,https://cdn.sofifa.net/players/246/646/23_60.png,22,174,63,1982,428,Olympique Lyonnais,52000,54600000,CM,2026,6,2018,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High,73,58,73,81,75,68,59,55,48,81,49,80,66,52,77,80,75,71,86,78,84,63,42,85,56,59,83,80,69,79,53,78,75,81,71,8,5,12,5,15,68,73,73,73,73,73,78,77,80,77,78,80,78,77,74,77,18,M. Caqueret,79,85,26000000,22,1982,CM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
L. Blas,Ludovic Blas,79,83,25000000,"CAM,RM,ST",CAM,France,https://cdn.sofifa.net/players/231/102/23_60.png,24,180,70,2069,430,FC Nantes,28000,51900000,RW,2024,10,2019,-,Left,2,4,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,73,76,77,82,58,64,73,72,58,80,77,85,77,69,75,82,78,69,79,73,76,80,66,73,63,83,55,66,74,78,74,84,47,64,59,12,9,14,14,15,76,78,78,78,78,78,81,79,79,79,72,71,72,70,64,70,21,L. Blas,79,83,25000000,24,2069,CAM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
Jorge Andrão,Everton Jorge Andrade Zanon,79,79,17000000,"CDM,CM",CDM,Brazil,https://cdn.sofifa.net/players/230/234/23_60.png,26,177,75,2040,432,Fluminense,27000,32299999,CDM,2025,26,2022,-,Right,4,2,1,Brazil,https://cdn.sofifa.net/flags/br.png,CM,8,High,High,67,62,74,75,78,76,75,58,59,78,58,75,48,73,75,77,68,66,76,78,71,72,71,89,68,64,81,79,54,73,61,68,80,81,77,9,9,14,15,8,68,71,69,69,69,71,74,75,77,75,79,79,79,79,78,79,20,Jorge Andrão,79,79,17000000,26,2040,CDM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
Pablo Fornals,Pablo Fornals Malla,79,81,21500000,"CAM,LM",CM,Spain,https://cdn.sofifa.net/players/226/456/23_60.png,26,178,67,2069,439,West Ham United,72000,42500000,LM,2024,8,2019,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High,67,74,79,79,69,71,77,72,50,81,72,79,71,70,78,83,68,66,76,75,75,77,50,84,67,78,71,71,76,80,55,77,70,72,71,9,11,12,7,15,75,77,76,76,76,77,80,79,81,79,77,78,77,75,71,75,20,Pablo Fornals,79,81,21500000,26,2069,CM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Weigl,Julian Weigl,79,80,20500000,"CM,CDM",CDM,Germany,https://cdn.sofifa.net/players/222/028/23_60.png,26,187,80,2029,429,Borussia Mönchengladbach,17000,0,CDM,2023,8,2020,TRUE,Right,3,3,2,-,https://cdn.sofifa.net/flags/de.png,-,-,Low,Medium,59,64,75,77,79,75,59,65,65,84,57,76,63,46,83,80,67,52,76,82,65,68,68,85,68,61,83,80,69,79,52,83,81,81,80,6,14,16,11,7,72,72,73,73,73,72,78,76,80,76,78,80,78,78,79,78,20,J. Weigl,79,80,20500000,26,2029,CDM,Germany,Midfield,Starter 78-84,Midfield / Starter 78-84
B. White,Benjamin White,79,86,32500000,CB,CDM,England,https://cdn.sofifa.net/players/231/936/23_60.png,24,185,77,1761,395,Arsenal,65000,68300000,RB,2026,4,2021,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,70,29,67,72,81,76,53,22,74,80,21,72,45,20,79,76,68,71,63,80,55,50,79,75,76,25,78,83,39,68,24,80,82,82,79,8,11,12,5,6,58,61,61,61,61,61,67,68,73,68,77,81,77,78,81,78,18,B. White,79,86,32500000,24,1761,CDM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
Fran Beltrán,Francisco José Beltrán Peinado,79,84,24500000,"CDM,CM",CDM,Spain,https://cdn.sofifa.net/players/235/997/23_60.png,23,165,64,1958,412,RC Celta de Vigo,22000,53300000,CM,2026,8,2018,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High,60,56,77,77,77,65,72,53,60,84,55,78,54,55,82,77,62,58,77,75,78,61,57,67,63,60,68,78,63,79,49,66,77,81,80,14,11,8,13,9,67,71,70,70,70,71,76,74,79,74,77,80,77,76,76,76,21,Fran Beltrán,79,84,24500000,23,1958,CDM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
T. Ndombele,Tanguy Ndombele,79,82,23000000,"CM,CDM,CAM",CAM,France,https://cdn.sofifa.net/players/235/569/23_60.png,25,181,76,2051,438,Napoli,85000,0,SUB,2023,91,2019,TRUE,Right,3,4,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Low,Low,66,71,79,86,68,68,73,68,56,84,62,88,74,59,79,86,68,64,81,77,86,79,58,52,75,74,73,69,70,84,58,86,67,72,69,8,10,13,8,7,75,78,78,78,78,78,82,79,81,79,74,77,74,72,72,72,18,T. Ndombele,79,82,23000000,25,2051,CAM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
H. Aouar,Houssem Aouar,79,84,26500000,"CAM,LM,CM",CAM,France,https://cdn.sofifa.net/players/234/906/23_60.png,24,175,70,2073,434,Olympique Lyonnais,57000,52300000,SUB,2023,8,2016,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Low,71,70,78,83,64,68,69,69,59,82,68,84,80,72,78,85,72,71,82,76,81,69,65,72,66,71,68,68,74,82,74,80,66,64,58,14,6,11,7,10,75,77,77,77,77,77,81,79,80,79,73,75,73,71,69,71,19,H. Aouar,79,84,26500000,24,2073,CAM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
K. Bellarabi,Karim Bellarabi,79,79,14000000,"RM,RW",RM,Germany,https://cdn.sofifa.net/players/202/857/23_60.png,32,184,79,1965,425,Bayer 04 Leverkusen,55000,23800000,SUB,2023,38,2011,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,86,75,72,81,39,72,78,74,51,72,73,83,72,58,62,81,85,87,78,77,78,82,75,69,71,77,75,43,75,75,57,80,39,33,35,10,12,7,11,10,77,79,78,78,78,79,79,79,72,79,64,61,64,61,54,61,20,K. Bellarabi,79,79,14000000,32,1965,RM,Germany,Midfield,Starter 78-84,Midfield / Starter 78-84
Suso,Jesús Joaquín Fernández Sáez,79,79,17500000,RW,CAM,Spain,https://cdn.sofifa.net/players/202/651/23_60.png,28,176,70,1907,395,Sevilla FC,36000,36800000,SUB,2025,7,2020,-,Left,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Low,73,76,80,83,32,51,80,72,50,81,72,84,87,81,75,85,75,72,79,78,82,78,44,66,50,84,38,20,75,82,72,77,48,23,18,15,15,9,8,9,75,79,79,79,79,79,79,79,76,79,60,57,60,54,44,54,21,Suso,79,79,17500000,28,1907,CAM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Draxler,Julian Draxler,79,79,17500000,"LW,CAM",CAM,Germany,https://cdn.sofifa.net/players/202/166/23_60.png,28,187,77,2064,433,SL Benfica,88000,0,SUB,2023,93,2017,TRUE,Right,5,4,3,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,72,76,80,82,58,65,79,74,64,81,77,83,77,76,77,84,74,70,79,78,73,80,76,66,66,78,56,66,78,81,65,82,48,64,44,11,13,5,13,8,79,79,79,79,79,79,79,79,79,79,72,72,72,69,65,69,21,J. Draxler,79,79,17500000,28,2064,CAM,Germany,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Veretout,Jordan Veretout,79,79,15000000,"CDM,CM",CDM,France,https://cdn.sofifa.net/players/201/519/23_60.png,29,177,67,2170,460,Olympique de Marseille,42000,28500000,CM,2025,27,2022,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,76,75,76,78,76,79,69,70,59,81,72,77,69,71,77,81,78,75,77,76,81,83,74,78,79,77,82,76,74,74,80,78,77,79,77,9,10,11,8,9,77,76,76,76,76,76,79,78,79,78,79,79,79,78,78,78,18,J. Veretout,79,79,15000000,29,2170,CDM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
Ander Herrera,Ander Herrera Agüera,79,79,14000000,"CM,CDM",CDM,Spain,https://cdn.sofifa.net/players/191/740/23_60.png,32,182,71,2123,439,Athletic Club de Bilbao,78000,0,SUB,2023,23,2019,TRUE,Right,4,3,3,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High,61,71,77,78,78,74,71,68,63,80,70,77,79,64,80,80,65,57,73,82,75,76,61,79,69,72,82,82,76,80,74,82,79,80,76,9,12,15,9,8,75,74,75,75,75,74,79,78,79,78,79,79,79,79,79,79,21,Ander Herrera,79,79,14000000,32,2123,CDM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
B. André,Benjamin André,79,79,12500000,"CDM,CM",CDM,France,https://cdn.sofifa.net/players/190/674/23_60.png,31,180,76,2087,439,LOSC Lille,35000,23800000,CDM,2023,21,2019,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High,65,64,73,75,78,84,70,61,80,78,56,75,68,46,75,75,62,67,70,78,71,69,93,90,79,65,87,80,70,72,66,76,75,80,75,8,14,15,7,10,73,71,71,71,71,71,74,75,78,75,78,79,78,78,79,78,20,B. André,79,79,12500000,31,2087,CDM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
Rubén García,Rubén García Santos,79,79,17500000,"LM,CM,CAM",LM,Spain,https://cdn.sofifa.net/players/211/022/23_60.png,28,171,71,1984,410,CA Osasuna,35000,36800000,SUB,2024,14,2018,-,Left,2,4,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,77,76,79,79,45,54,80,79,56,80,59,79,77,79,79,80,84,72,81,73,86,76,65,64,46,78,58,38,74,78,69,67,45,48,41,9,14,13,14,10,75,78,77,77,77,78,79,79,76,79,65,63,65,62,54,62,21,Rubén García,79,79,17500000,28,1984,LM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Manu Trigueros,Manuel Trigueros Muñoz,79,79,17000000,"CM,LM,RM",CM,Spain,https://cdn.sofifa.net/players/206/545/23_60.png,30,178,75,2042,414,Villarreal CF,37000,35700000,SUB,2025,14,2011,-,Right,4,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,50,73,78,75,72,66,75,70,71,80,65,74,78,69,79,79,47,52,69,79,67,78,69,71,61,80,69,73,77,80,65,76,69,77,69,9,14,12,7,8,74,73,74,74,74,73,78,75,79,75,74,77,74,73,73,73,19,Manu Trigueros,79,79,17000000,30,2042,CM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Denis Suárez,Denis Suárez Fernández,79,79,17500000,CM,CAM,Spain,https://cdn.sofifa.net/players/205/192/23_60.png,28,178,66,2017,425,RC Celta de Vigo,30000,36800000,SUB,2023,6,2019,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,72,72,81,81,64,55,75,71,49,84,68,82,82,70,80,81,72,72,81,81,76,74,57,61,54,73,47,70,78,85,63,75,69,65,49,10,14,10,7,7,74,78,78,78,78,78,79,79,79,79,73,73,73,70,65,70,19,Denis Suárez,79,79,17500000,28,2017,CAM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
S. Diop,Sofiane Diop,78,86,31500000,"LM,RM,CF",CAM,France,https://cdn.sofifa.net/players/244/892/23_60.png,22,175,65,1959,409,OGC Nice,38000,66200000,LM,2027,10,2022,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High,71,72,75,83,54,54,77,71,39,76,62,83,76,74,68,83,74,69,82,76,85,76,48,78,37,74,68,56,76,78,60,80,56,58,46,14,13,8,9,9,72,77,76,76,76,77,79,79,77,79,70,68,70,66,58,66,20,S. Diop,78,86,31500000,22,1959,CAM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,78,88,31500000,LM,RM,Brazil,https://cdn.sofifa.net/players/251/566/23_60.png,21,178,75,1916,419,Arsenal,56000,66200000,LM,2024,11,2019,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High,87,71,68,80,45,68,73,76,72,71,61,82,72,49,50,79,88,86,82,77,79,70,55,78,61,65,77,37,76,74,60,75,44,44,43,10,6,7,6,6,77,78,77,77,77,78,78,79,71,79,66,61,66,64,57,64,17,Gabriel Martinelli,78,88,31500000,21,1916,RM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
Melendo,Óscar Melendo Jiménez,78,82,20000000,"CAM,RM,CM",CAM,Spain,https://cdn.sofifa.net/players/236/679/23_60.png,24,167,63,1916,407,Granada CF,12000,33500000,SUB,2023,21,2022,-,Left,2,4,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,80,64,79,79,47,58,74,65,45,84,63,78,81,50,78,80,81,79,86,72,88,66,60,62,53,63,63,50,75,83,50,70,50,45,40,9,7,13,15,8,71,77,75,75,75,77,80,79,76,79,66,66,66,63,56,63,19,Melendo,78,82,20000000,24,1916,CAM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
C. Hudson-Odoi,Callum Hudson-Odoi,78,84,22500000,"LM,RM,RWB",RM,England,https://cdn.sofifa.net/players/240/740/23_60.png,21,182,76,1926,412,Bayer 04 Leverkusen,69000,0,LM,2023,17,2017,TRUE,Right,3,4,2,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,81,68,74,82,48,59,77,71,53,76,59,84,73,71,69,81,86,76,84,70,78,67,64,66,58,66,51,44,72,74,55,72,47,51,45,14,13,11,15,5,73,77,75,75,75,77,78,79,73,79,66,63,66,63,56,63,20,C. Hudson-Odoi,78,84,22500000,21,1926,RM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
R. Faivre,Romain Faivre,78,84,22000000,"RM,CAM",CAM,France,https://cdn.sofifa.net/players/242/577/23_60.png,23,180,69,2086,434,Olympique Lyonnais,52000,46200000,CM,2026,15,2022,-,Left,3,4,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,75,74,76,80,62,67,78,73,61,76,66,81,81,79,69,80,80,70,79,76,73,74,64,80,63,76,59,66,74,79,80,79,58,64,58,14,13,13,14,15,75,77,76,76,76,77,79,79,77,79,74,71,74,71,66,71,23,R. Faivre,78,84,22000000,23,2086,CAM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
Portu,Cristian Portugues Manzanera,78,78,13500000,"RM,LM",RM,Spain,https://cdn.sofifa.net/players/205/070/23_60.png,30,167,66,2103,443,Getafe CF,33000,0,LM,2023,9,2019,TRUE,Right,4,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,87,74,72,76,57,77,75,74,74,71,72,75,78,64,70,76,85,88,83,73,82,80,75,83,72,71,80,55,78,74,65,74,55,55,53,14,10,15,15,13,78,76,76,76,76,76,77,78,74,78,71,68,71,69,66,69,22,Portu,78,78,13500000,30,2103,RM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
M. Özil,Mesut Özil,78,78,9000000,"CAM,RM",CAM,Germany,https://cdn.sofifa.net/players/176/635/23_60.png,33,180,70,1790,370,İstanbul Başakşehir FK,40000,18000000,RES,2023,10,2022,-,Left,2,4,4,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Low,69,70,83,79,24,45,82,70,51,85,77,79,84,75,80,82,70,68,75,65,74,68,33,45,46,66,44,24,77,82,79,85,24,16,19,6,14,10,6,14,73,76,75,75,75,76,78,78,74,78,56,54,56,50,40,50,19,M. Özil,78,78,9000000,33,1790,CAM,Germany,Midfield,Starter 78-84,Midfield / Starter 78-84
A. Plea,Alassane Plea,78,78,14000000,CF,CAM,France,https://cdn.sofifa.net/players/206/467/23_60.png,29,181,79,2048,420,Borussia Mönchengladbach,35000,23800000,LM,2025,14,2018,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,72,79,79,78,39,73,79,79,73,79,80,77,82,73,78,78,77,67,81,82,79,79,71,77,74,79,67,39,81,81,68,79,29,40,30,11,15,16,12,15,78,78,78,78,78,78,78,78,77,78,63,63,63,60,55,60,23,A. Plea,78,78,14000000,29,2048,CAM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Lingard,Jesse Lingard,78,78,14000000,CAM,CAM,England,https://cdn.sofifa.net/players/207/494/23_60.png,29,175,60,2046,426,Nottingham Forest,65000,26600000,CAM,2023,11,2022,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,75,77,73,79,57,65,70,76,63,77,76,80,79,64,62,78,77,74,78,78,84,78,65,74,58,79,72,51,82,78,70,77,63,57,49,14,10,8,13,9,78,77,78,78,78,77,78,78,75,78,69,68,69,67,63,67,21,J. Lingard,78,78,14000000,29,2046,CAM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
Óliver Torres,Óliver Torres Muñoz,78,79,16000000,"CM,LW",CM,Spain,https://cdn.sofifa.net/players/208/777/23_60.png,27,175,70,1948,399,Sevilla FC,29000,34800000,SUB,2024,21,2019,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,59,67,78,81,64,50,73,66,52,81,63,82,80,64,80,83,65,54,77,76,78,69,50,72,34,68,61,67,77,80,65,81,65,66,58,7,7,14,6,8,70,75,75,75,75,75,79,78,79,78,72,73,72,70,63,70,17,Óliver Torres,78,79,16000000,27,1948,CM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Milner,James Milner,78,78,4400000,"CM,LB,RB",CDM,England,https://cdn.sofifa.net/players/138/412/23_60.png,36,175,70,2124,429,Liverpool,69000,8100000,SUB,2023,7,2015,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,52,70,80,76,77,74,83,62,65,81,76,76,81,75,79,80,54,51,64,84,72,82,62,76,70,70,86,78,71,77,89,81,77,80,78,12,9,10,8,6,73,73,73,73,73,73,76,76,78,76,78,78,78,78,78,78,19,J. Milner,78,78,4400000,36,2124,CDM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
V. Rongier,Valentin Rongier,78,79,16000000,"CM,CDM,RB",CDM,France,https://cdn.sofifa.net/players/223/874/23_60.png,27,172,70,2121,448,Olympique de Marseille,40000,31600000,CM,2024,21,2019,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,71,66,76,78,77,80,65,61,53,81,66,75,74,69,80,80,70,72,74,80,88,75,73,82,79,68,80,82,70,76,65,79,78,81,75,11,8,12,7,11,72,73,74,74,74,73,77,77,79,77,79,79,79,78,79,78,19,V. Rongier,78,79,16000000,27,2121,CDM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
M. Lopez,Maxime Lopez,78,81,19000000,"CM,CDM",CAM,France,https://cdn.sofifa.net/players/224/030/23_60.png,24,167,58,2091,428,U.S. Sassuolo Calcio,30000,33700000,CDM,2025,27,2020,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,72,71,79,82,67,57,75,72,62,83,65,79,79,73,76,83,73,72,90,77,93,70,69,85,34,73,77,68,63,81,68,73,68,69,63,7,14,13,11,6,72,77,75,75,75,77,80,79,80,79,76,76,76,75,68,75,19,M. Lopez,78,81,19000000,24,2091,CAM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
Douglas Luiz,Douglas Luiz Soares de Paulo,78,83,19500000,"CDM,CM",CM,Brazil,https://cdn.sofifa.net/players/236/499/23_60.png,24,175,66,2034,432,Aston Villa,59000,38500000,SUB,2023,6,2019,-,Right,2,3,2,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,67,68,77,77,73,70,69,64,62,82,58,75,80,63,80,82,69,65,74,77,74,80,66,76,66,76,74,77,58,77,44,81,75,75,68,12,6,13,10,7,72,73,73,73,73,73,77,76,79,76,76,79,76,75,75,75,18,Douglas Luiz,78,83,19500000,24,2034,CM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
Pozuelo,Alejandro Pozuelo Melero,78,78,13500000,"CAM,CF",CAM,Spain,https://cdn.sofifa.net/players/203/895/23_60.png,30,170,74,2004,416,Inter Miami CF,11000,19600000,CAM,2023,8,2022,-,Right,5,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,64,73,79,80,53,67,74,70,54,81,68,80,78,74,75,81,69,59,77,78,85,75,61,79,64,76,59,55,77,84,76,82,54,55,36,10,8,14,10,8,74,76,76,76,76,76,78,78,78,78,68,69,68,64,60,64,19,Pozuelo,78,78,13500000,30,2004,CAM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
S. Rode,Sebastian Rode,78,78,10000000,"CDM,CM",CDM,Germany,https://cdn.sofifa.net/players/200/215/23_60.png,31,180,71,1995,421,Eintracht Frankfurt,28000,17000000,CDM,2024,17,2019,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/de.png,-,-,High,High,59,65,72,74,77,74,67,61,64,78,55,72,56,52,76,78,69,50,67,77,74,73,76,69,72,68,84,80,72,72,51,80,78,78,77,9,8,14,7,11,71,70,71,71,71,70,74,73,77,73,76,78,76,75,78,75,19,S. Rode,78,78,10000000,31,1995,CDM,Germany,Midfield,Starter 78-84,Midfield / Starter 78-84
Campaña,José Gómez Campaña,78,78,13500000,"CM,LM,RM",CM,Spain,https://cdn.sofifa.net/players/199/823/23_60.png,29,179,70,2083,437,Levante Unión Deportiva,16000,21600000,CM,2023,24,2016,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,65,72,81,78,70,71,79,70,64,81,66,78,85,78,80,81,68,62,73,76,78,76,60,80,70,73,63,71,74,82,69,81,72,71,61,8,11,6,7,10,75,76,76,76,76,76,78,78,78,78,76,77,76,74,71,74,18,Campaña,78,78,13500000,29,2083,CM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Oriol Romeu,Oriol Romeu Vidal,78,78,12000000,"CDM,CM",CDM,Spain,https://cdn.sofifa.net/players/199/576/23_60.png,30,183,83,1808,371,Girona FC,26000,26400000,CDM,2025,18,2022,-,Right,3,2,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Low,High,41,44,62,65,80,79,37,25,69,78,52,63,49,53,72,70,50,33,54,72,56,76,65,72,79,48,89,82,48,55,54,72,80,83,81,12,14,10,11,16,58,54,57,57,57,54,62,60,70,60,70,78,70,71,78,71,22,Oriol Romeu,78,78,12000000,30,1808,CDM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Brahim,Brahim Díaz,78,86,31500000,CAM,CAM,Spain,https://cdn.sofifa.net/players/231/410/23_60.png,22,171,59,1816,385,AC Milan,110000,0,CAM,2023,10,2019,TRUE,Right,5,4,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,78,69,76,82,30,50,66,69,30,83,55,82,74,61,74,83,81,75,89,72,91,70,66,65,44,71,41,30,73,78,58,72,40,23,21,13,9,13,10,6,70,77,76,76,76,77,80,78,74,78,59,57,59,53,42,53,19,Brahim,78,86,31500000,22,1816,CAM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Zubeldia,Igor Zubeldia Elorza,78,82,17500000,CB,CDM,Spain,https://cdn.sofifa.net/players/233/738/23_60.png,25,181,73,2037,430,Real Sociedad,29000,38100000,CB,2024,5,2015,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,65,63,75,70,78,79,65,62,72,82,47,67,73,65,77,73,56,72,69,80,74,75,79,81,76,60,86,81,63,72,51,73,80,78,75,6,8,9,10,13,71,69,70,70,70,69,73,73,77,73,77,81,77,78,80,78,19,Zubeldia,78,82,17500000,25,2037,CDM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Luiz Araújo,Luiz Araújo,78,78,15500000,"RM,LM,CAM",RM,Brazil,https://cdn.sofifa.net/players/234/128/23_60.png,26,175,70,1906,408,Atlanta United,11000,23300000,LM,2022,19,2021,-,Left,2,4,2,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,88,69,72,83,39,57,75,66,54,71,66,84,75,64,65,81,87,89,90,77,79,74,56,67,52,73,55,33,71,75,62,79,31,44,41,6,12,13,9,9,74,78,76,76,76,78,78,78,72,78,64,59,64,61,51,61,19,Luiz Araújo,78,78,15500000,26,1906,RM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Ikoné,Jonathan Ikoné,78,82,20000000,"RW,RM",LM,France,https://cdn.sofifa.net/players/234/612/23_60.png,24,175,73,1899,409,Fiorentina,50000,35500000,SUB,2026,11,2022,-,Left,3,4,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,89,69,73,83,35,60,73,68,39,73,59,85,78,72,64,79,90,89,92,75,82,75,34,72,55,68,65,34,74,78,70,78,32,36,36,9,8,13,8,14,74,78,77,77,77,78,80,81,73,81,64,59,64,60,49,60,20,J. Ikoné,78,82,20000000,24,1899,LM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
